dt,70.77,70.91,69.86,70.74,3636193
dt,69.43,70.55,68.7,69.46,5216186
dt,68.55,69.6897,67.98,68.55,4223296
dt,66.34,67.0,64.85,65.08,5638318
dt,65.75,65.89,64.07,64.23,4732346
dt,64.82,65.54,64.0,64.76,3416848
dt,65.56,65.97,64.68,65.8,3680302
dt,66.28,66.66,63.41,63.64,5405988
dt,64.01,65.11,62.51,64.6,4573005
dt,62.0,63.46,61.84,62.85,4827325
dt,63.69,63.7,61.51,62.19,3464465
dt,60.8,61.37,58.92,60.76,5328049
dt,60.85,62.3,60.51,61.18,3747311
dt,62.15,62.6,60.52,61.1,4148140
dt,60.69,61.01,58.49,58.66,5711463
dt,59.1,60.495,59.1,60.38,5619896
dt,61.3,64.59,61.26,63.3,8544911
dt,63.785,63.785,62.12,62.99,6491523
dt,63.49,65.7,63.2799,65.62,6380161
dt,65.0,65.45,63.79,65.01,4320073
dt,63.83,63.86,62.82,63.21,5195718
dt,63.66,64.01,59.86,63.15,6037265
dt,63.0,64.36,62.84,63.73,4308528
dt,63.92,64.63,62.64,63.36,3507843
dt,62.33,62.45,60.1,60.89,3878252
dt,60.04,62.93,59.75,62.42,4424033
dt,62.92,64.12,62.18,62.24,3186352
dt,59.71,60.88,58.74,60.15,4823188
dt,61.21,62.84,60.62,62.54,5527960
dt,63.71,65.13,63.08,64.21,4308951
dt,64.96,66.045,64.87,65.18,3805987
dt,65.48,66.68,65.18,65.93,4272147
dt,65.5,65.8786,64.76,65.73,2456698
dt,66.44,67.79,66.4,67.76,3007578
dt,67.61,67.61,65.32,65.72,3487022
dt,64.77,65.64,63.45,65.41,2894819
dt,65.76,66.42,64.87,66.42,2642186
dt,66.73,68.19,66.64,67.2,3105828
dt,66.93,67.18,65.7,65.73,3404337
dt,66.67,68.0,66.15,67.99,4131778
dt,68.02,69.14,67.74,69.14,2397499
dt,68.97,69.66,68.69,69.66,2444568
dt,69.81,70.39,68.96,69.59,2939344
dt,68.94,69.62,68.78,69.52,2002701
dt,68.85,69.17,68.01,68.49,2713769
dt,69.04,69.295,68.25,68.7,2508379
dt,69.18,70.0,68.12,69.23,2155561
dt,70.19,71.12,70.01,71.03,2358021
dt,70.78,71.01,69.73,69.93,2550435
dt,69.29,69.32,68.31,69.32,3395763
dt,69.21,70.08,68.85,69.38,3274122
dt,69.05,70.06,68.59,69.5,4067529
dt,69.82,71.12,69.53,70.57,5089845
dt,70.31,71.39,70.08,70.81,2381019
dt,70.28,70.78,69.95,70.46,1904918
dt,70.52,70.7685,70.0,70.21,2603838
dt,69.44,69.78,68.88,69.76,2090443
dt,69.81,69.97,68.96,69.2,1885057
dt,68.83,68.96,67.58,68.85,4411692
dt,69.3,70.0,69.04,69.15,2050165
dt,69.15,69.79,68.98,69.31,3222698
dt,69.73,70.97,69.26,70.8,2894871
dt,70.59,70.89,69.72,69.83,1617444
dt,68.1,68.95,67.79,68.53,3455207
dt,68.01,68.42,67.2,68.27,3215866
dt,67.66,67.98,66.1,66.58,2842932
dt,67.03,67.72,66.41,66.67,2259823
dt,66.83,67.7,66.73,67.2,3626242
dt,67.55,68.46,67.41,68.31,2861984
dt,69.0,70.87,68.98,70.84,3366104
dt,70.66,72.18,70.48,71.47,2871446
dt,71.72,72.24,71.05,71.34,2862527
dt,70.89,71.9,70.55,71.66,1765395
dt,71.96,72.89,71.46,72.8,2349124
dt,73.35,75.55,73.31,75.43,4921505
dt,75.25,76.3,74.69,74.73,2961985
dt,74.5,75.73,74.48,75.56,1782963
dt,75.08,75.47,74.48,74.99,2477994
dt,75.03,76.0,74.63,75.96,2686064
dt,73.13,74.5,72.82,74.31,6388657
dt,73.56,74.26,72.99,73.37,2641846
dt,72.99,73.29,71.87,72.39,2966520
dt,72.87,73.73,72.0,73.58,2721511
dt,72.56,72.71,71.44,71.97,2184457
dt,71.16,71.17,69.27,69.68,4057479
dt,69.93,70.33,68.605,69.12,5345417
dt,68.8,69.43,68.43,69.39,3442611
dt,70.31,70.37,69.25,69.6,2788863
dt,70.01,71.28,69.9611,71.14,2651027
dt,70.83,71.45,70.35,70.36,2411912
dt,70.17,70.73,68.84,69.36,2109887
dt,69.15,69.96,68.325,68.71,2459689
dt,68.53,69.66,68.38,69.28,2678665
dt,68.88,69.67,68.41,68.83,2679012
dt,68.83,71.01,68.66,70.98,4339188
dt,70.38,71.79,69.88,70.53,3460718
dt,70.76,71.57,70.4601,70.93,2053038
